instancia,dim,heuristica,tiempo,costo,gap,iteraciones,memoria,vecindad
brazil58,58,TS-C,948.003,25838,0.01744437881472731,1000,500,100
brazil58,58,TS-C,1100.42,25838,0.01744437881472731,1000,1000,100
burma14,14,TS-C,3.06223,3439,0.03490821546795065,50,50,10
burma14,14,TS-C,6.09444,3323,0.0,100,50,10
burma14,14,TS-C,4.85267,3439,0.03490821546795065,100,100,10
burma14,14,TS-C,11.9962,3323,0.0,200,50,10
burma14,14,TS-C,10.5343,3323,0.0,200,100,10
burma14,14,TS-C,10.2173,3505,0.0547697863376467,200,200,10
burma14,14,TS-C,26.1722,3382,0.017755040625940414,500,50,10
burma14,14,TS-C,21.7445,3369,0.013842913030394222,500,100,10
burma14,14,TS-C,17.9591,3336,0.003912127595546194,500,200,10
burma14,14,TS-C,28.0373,3346,0.006921456515197111,500,500,10
burma14,14,TS-C,40.9711,3336,0.003912127595546194,1000,50,10
burma14,14,TS-C,43.3165,3323,0.0,1000,100,10
burma14,14,TS-C,37.2101,3323,0.0,1000,200,10
burma14,14,TS-C,61.2764,3381,0.017454107733975325,1000,500,10
burma14,14,TS-C,64.3286,3323,0.0,1000,1000,10
burma14,14,TS-C,3.25325,3323,0.0,50,50,20
burma14,14,TS-C,6.43692,3323,0.0,100,50,20
burma14,14,TS-C,6.51979,3323,0.0,100,100,20
burma14,14,TS-C,9.33127,3323,0.0,200,50,20
burma14,14,TS-C,13.4847,3323,0.0,200,100,20
burma14,14,TS-C,10.3551,3323,0.0,200,200,20
burma14,14,TS-C,23.6226,3323,0.0,500,50,20
burma14,14,TS-C,24.674,3323,0.0,500,100,20
burma14,14,TS-C,35.626,3323,0.0,500,200,20
burma14,14,TS-C,22.0893,3323,0.0,500,500,20
burma14,14,TS-C,55.7259,3323,0.0,1000,50,20
burma14,14,TS-C,56.7,3323,0.0,1000,100,20
burma14,14,TS-C,25.5729,3323,0.0,1000,200,20
burma14,14,TS-C,43.4986,3323,0.0,1000,500,20
burma14,14,TS-C,45.9428,3323,0.0,1000,1000,20
burma14,14,TS-C,1.94493,3323,0.0,50,50,50
burma14,14,TS-C,7.24606,3323,0.0,100,50,50
burma14,14,TS-C,7.45835,3323,0.0,100,100,50
burma14,14,TS-C,15.5999,3323,0.0,200,50,50
burma14,14,TS-C,15.8734,3323,0.0,200,100,50
burma14,14,TS-C,14.744,3323,0.0,200,200,50
burma14,14,TS-C,23.6836,3323,0.0,500,50,50
burma14,14,TS-C,21.5768,3323,0.0,500,100,50
burma14,14,TS-C,33.9317,3323,0.0,500,200,50
